Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Cell_type,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession,Instrument,LibraryLayout,LibrarySelection,LibrarySource,MBases,MBytes,Organism,Platform,ReleaseDate,sample_acc,Sample Name,sex,source_name,SRA Study,strain
SRR2727045,RNA-Seq,43,41955831,PRJNA299180,SAMN04194619,51615548,ES2i,GEO,public,sra,"gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX1354792,GSM1911848,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,41,49,Mus musculus,ILLUMINA,2016-07-27T00:00:00Z,SRS1121749,GSM1911848,male,embryo,SRP064979,male CAST/EiJ x female C57BL/6J
SRR2727046,RNA-Seq,43,201514641,PRJNA299180,SAMN04194621,214097102,ES2i,GEO,public,sra,"ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",SRX1354793,GSM1911849,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,201,204,Mus musculus,ILLUMINA,2016-07-27T00:00:00Z,SRS1121748,GSM1911849,male,embryo,SRP064979,male CAST/EiJ x female C57BL/6J
SRR2727047,RNA-Seq,43,126267264,PRJNA299180,SAMN04194622,135538211,ES2i,GEO,public,sra,"gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX1354794,GSM1911850,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,126,129,Mus musculus,ILLUMINA,2016-07-27T00:00:00Z,SRS1121746,GSM1911850,male,embryo,SRP064979,male CAST/EiJ x female C57BL/6J
SRR2727048,RNA-Seq,43,88653358,PRJNA299180,SAMN04194620,94774707,ES2i,GEO,public,sra,"ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",SRX1354795,GSM1911851,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,88,90,Mus musculus,ILLUMINA,2016-07-27T00:00:00Z,SRS1121745,GSM1911851,male,embryo,SRP064979,male CAST/EiJ x female C57BL/6J
SRR2727049,RNA-Seq,43,97089399,PRJNA299180,SAMN04194623,112634040,ES2i,GEO,public,sra,"gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX1354796,GSM1911852,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,97,107,Mus musculus,ILLUMINA,2016-07-27T00:00:00Z,SRS1121747,GSM1911852,male,embryo,SRP064979,male CAST/EiJ x female C57BL/6J
SRR2727050,RNA-Seq,43,153361994,PRJNA299180,SAMN04194624,162689868,ES2i,GEO,public,sra,"gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX1354797,GSM1911853,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,153,155,Mus musculus,ILLUMINA,2016-07-27T00:00:00Z,SRS1121744,GSM1911853,male,embryo,SRP064979,male CAST/EiJ x female C57BL/6J
SRR2727051,RNA-Seq,43,191004237,PRJNA299180,SAMN04194625,201464740,ES2i,GEO,public,sra,"ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",SRX1354798,GSM1911854,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,191,192,Mus musculus,ILLUMINA,2016-07-27T00:00:00Z,SRS1121743,GSM1911854,male,embryo,SRP064979,male CAST/EiJ x female C57BL/6J
SRR2727052,RNA-Seq,43,198256746,PRJNA299180,SAMN04194626,208873920,ES2i,GEO,public,sra,"s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX1354799,GSM1911855,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,198,199,Mus musculus,ILLUMINA,2016-07-27T00:00:00Z,SRS1121742,GSM1911855,male,embryo,SRP064979,male CAST/EiJ x female C57BL/6J
SRR2727053,RNA-Seq,43,161181028,PRJNA299180,SAMN04194627,171889850,ES2i,GEO,public,sra,"gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX1354800,GSM1911856,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,161,163,Mus musculus,ILLUMINA,2016-07-27T00:00:00Z,SRS1121740,GSM1911856,male,embryo,SRP064979,male CAST/EiJ x female C57BL/6J
SRR2727054,RNA-Seq,43,208531424,PRJNA299180,SAMN04194628,218940327,ES2i,GEO,public,sra,"gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX1354801,GSM1911857,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,208,208,Mus musculus,ILLUMINA,2016-07-27T00:00:00Z,SRS1121741,GSM1911857,male,embryo,SRP064979,male CAST/EiJ x female C57BL/6J
SRR2727055,RNA-Seq,43,158977966,PRJNA299180,SAMN04194630,168679876,ES2i,GEO,public,sra,"gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX1354802,GSM1911858,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,158,160,Mus musculus,ILLUMINA,2016-07-27T00:00:00Z,SRS1121739,GSM1911858,male,embryo,SRP064979,male CAST/EiJ x female C57BL/6J
SRR2727056,RNA-Seq,43,103718107,PRJNA299180,SAMN04194631,111307405,ES2i,GEO,public,sra,"s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX1354803,GSM1911859,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,103,106,Mus musculus,ILLUMINA,2016-07-27T00:00:00Z,SRS1121738,GSM1911859,male,embryo,SRP064979,male CAST/EiJ x female C57BL/6J
SRR2727058,RNA-Seq,43,162162073,PRJNA299180,SAMN04194632,170943124,ES2i,GEO,public,sra,"ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX1354805,GSM1911861,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,162,163,Mus musculus,ILLUMINA,2016-07-27T00:00:00Z,SRS1121736,GSM1911861,male,embryo,SRP064979,male CAST/EiJ x female C57BL/6J
SRR2727059,RNA-Seq,43,165385181,PRJNA299180,SAMN04194633,174548078,ES2i,GEO,public,sra,"ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX1354806,GSM1911862,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,165,166,Mus musculus,ILLUMINA,2016-07-27T00:00:00Z,SRS1121735,GSM1911862,male,embryo,SRP064979,male CAST/EiJ x female C57BL/6J
