sample_name	SRA_Run	GEO_Sample	GEO_Sample_Title
F0S4_161122_029_E01	SRR7321601	GSM3189895	Control: 10pg Takara Control Total RNA_1
F0S4_161122_029_F01	SRR7321602	GSM3189895	Control: 10pg Takara Control Total RNA_1
F0S4_161122_030_E01	SRR7321603	GSM3189895	Control: 10pg Takara Control Total RNA_1
F0S4_161122_030_F01	SRR7321604	GSM3189895	Control: 10pg Takara Control Total RNA_1
F0S4_161122_031_E01	SRR7321605	GSM3189895	Control: 10pg Takara Control Total RNA_1
F0S4_161122_031_F01	SRR7321606	GSM3189895	Control: 10pg Takara Control Total RNA_1
F0S4_160517_002_E01	SRR7321607	GSM3189895	Control: 10pg Takara Control Total RNA_1
F0S4_160517_017_F01	SRR7321608	GSM3189895	Control: 10pg Takara Control Total RNA_1
F0S4_161122_032_E01	SRR7321609	GSM3189895	Control: 10pg Takara Control Total RNA_1
F0S4_161122_032_F01	SRR7321610	GSM3189895	Control: 10pg Takara Control Total RNA_1
F0S4_161122_033_E01	SRR7321611	GSM3189895	Control: 10pg Takara Control Total RNA_1
F0S4_161122_033_F01	SRR7321612	GSM3189895	Control: 10pg Takara Control Total RNA_1
F0S4_161122_034_E01	SRR7321613	GSM3189895	Control: 10pg Takara Control Total RNA_1
F0S4_161122_034_F01	SRR7321614	GSM3189895	Control: 10pg Takara Control Total RNA_1
F0S4_161122_035_E01	SRR7321615	GSM3189895	Control: 10pg Takara Control Total RNA_1
F0S4_161122_035_F01	SRR7321616	GSM3189895	Control: 10pg Takara Control Total RNA_1
F0S4_161122_036_E01	SRR7321617	GSM3189895	Control: 10pg Takara Control Total RNA_1
F0S4_161122_036_F01	SRR7321618	GSM3189895	Control: 10pg Takara Control Total RNA_1
F0S4_160517_018_E01	SRR7321619	GSM3189895	Control: 10pg Takara Control Total RNA_1
F0S4_161122_037_E01	SRR7321620	GSM3189895	Control: 10pg Takara Control Total RNA_1
F0S4_161122_037_F01	SRR7321621	GSM3189895	Control: 10pg Takara Control Total RNA_1
F0S4_161122_038_E01	SRR7321622	GSM3189895	Control: 10pg Takara Control Total RNA_1
F0S4_161122_038_F01	SRR7321623	GSM3189895	Control: 10pg Takara Control Total RNA_1
F0S4_161122_039_E01	SRR7321624	GSM3189895	Control: 10pg Takara Control Total RNA_1
F0S4_161122_039_F01	SRR7321625	GSM3189895	Control: 10pg Takara Control Total RNA_1
F0S4_161122_040_E01	SRR7321626	GSM3189895	Control: 10pg Takara Control Total RNA_1
F0S4_161122_040_F01	SRR7321627	GSM3189895	Control: 10pg Takara Control Total RNA_1
F0S4_161122_041_E01	SRR7321628	GSM3189895	Control: 10pg Takara Control Total RNA_1
F0S4_161122_041_F01	SRR7321629	GSM3189895	Control: 10pg Takara Control Total RNA_1
F0S4_160517_018_F01	SRR7321630	GSM3189895	Control: 10pg Takara Control Total RNA_1
F0S4_161122_042_E01	SRR7321631	GSM3189895	Control: 10pg Takara Control Total RNA_1
F0S4_161122_042_F01	SRR7321632	GSM3189895	Control: 10pg Takara Control Total RNA_1
F0S4_161122_045_E01	SRR7321633	GSM3189895	Control: 10pg Takara Control Total RNA_1
F0S4_161122_045_F01	SRR7321634	GSM3189895	Control: 10pg Takara Control Total RNA_1
F0S4_161122_046_E01	SRR7321635	GSM3189895	Control: 10pg Takara Control Total RNA_1
F0S4_161122_046_F01	SRR7321636	GSM3189895	Control: 10pg Takara Control Total RNA_1
F0S4_161122_047_E01	SRR7321637	GSM3189895	Control: 10pg Takara Control Total RNA_1
F0S4_161122_047_F01	SRR7321638	GSM3189895	Control: 10pg Takara Control Total RNA_1
F0S4_161122_048_E01	SRR7321639	GSM3189895	Control: 10pg Takara Control Total RNA_1
F0S4_161122_048_F01	SRR7321640	GSM3189895	Control: 10pg Takara Control Total RNA_1
